City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,zhigalovo,54.8097,105.1578,-15.29,91,93,1.47,RU,1676170715
248,fairlie,55.756,-4.8556,8.99,80,100,0.89,GB,1676170716
249,bubaque,11.2833,-15.8333,23.81,70,1,6.99,GW,1676170716
250,barra do garcas,-15.89,-52.2567,23.39,83,20,0.61,BR,1676170636
251,qurayyat,31.3318,37.3428,3.1,65,0,2.06,SA,1676170717
252,manokwari,-0.8667,134.0833,27.73,71,99,2.26,ID,1676170717
253,padang,-0.9492,100.3543,27.03,66,100,0.89,ID,1676170718
254,cockburn town,21.4612,-71.1419,24.95,78,0,10.27,TC,1676170718
255,east london,-33.0153,27.9116,23.59,72,100,2.36,ZA,1676170511
256,touros,-5.1989,-35.4608,26.13,73,45,5.34,BR,1676170719
257,puerto escondido,15.85,-97.0667,24.79,77,0,2.96,MX,1676170719
258,inhambane,-23.865,35.3833,25.88,88,100,6.02,MZ,1676170719
259,khawhai,23.3667,93.1167,17.28,30,0,0.64,IN,1676170720
260,camopi,3.1655,-52.3158,22.4,100,100,0.63,GF,1676170720
261,tapah,4.2004,101.2598,25.95,71,58,1.51,MY,1676170721
262,khandyga,62.6667,135.6,-34.11,96,97,0.83,RU,1676170721
263,mwene-ditu,-7.0,23.45,18.12,93,100,1.4,CD,1676170721
264,luebo,-5.35,21.4167,20.68,98,100,0.56,CD,1676170722
265,necochea,-38.5473,-58.7368,27.0,36,4,5.28,AR,1676170722
266,trairi,-3.2778,-39.2689,25.48,77,6,4.03,BR,1676170463
267,gat,31.61,34.7642,9.67,100,32,0.86,IL,1676170723
268,shache,38.4167,77.2406,2.06,57,0,2.18,CN,1676170723
269,florianopolis,-27.6146,-48.5012,23.12,91,40,0.51,BR,1676170724
270,coquimbo,-29.9533,-71.3436,17.85,94,0,3.6,CL,1676170724
271,thompson,55.7435,-97.8558,-19.91,77,75,1.03,CA,1676170724
272,andros town,24.7,-77.7667,23.98,81,6,7.24,BS,1676170725
273,yankton,42.8711,-97.3973,2.14,69,0,3.09,US,1676170725
274,viedma,-40.8135,-62.9967,23.6,66,13,3.41,AR,1676170548
275,ponta do sol,32.6667,-17.1,16.67,74,11,2.05,PT,1676170726
276,iracoubo,5.4802,-53.2011,24.32,89,60,5.11,GF,1676170726
277,kahului,20.8947,-156.47,25.01,71,0,10.29,US,1676170726
278,udachnyy,66.4167,112.4,-24.42,96,100,1.36,RU,1676170727
279,sandwick,60.0,-1.25,8.9,81,100,9.77,GB,1676170727
